время;координата x;координата y;координата z;скорость x;скорость y;скорость z;фокальный параметр;эксцентриситет;наклонение;долгота восходящего узла; аргумент широты перигея;время прохождения перигея;аргумент широты;истинная аномалия;большая полуось;период обращения;среднее движение; средняя аномалия; радиус-вектор точки
0.000;6877.997;6877999.900;6878003.000;-3000.002;-100.002;2999.998;6411185.750;0.462;1.165;0.477;-2.478;3558.813;0.679;-3.157;8149933.818;7322.185;0.001;-3.054;11913045.397
1.000;6874.996;6877899.088;6881002.188;-3001.623;-101.623;2998.376;6411185.753;0.462;1.165;0.477;-2.478;3560.657;0.680;-3.158;8149933.820;7322.185;0.001;-3.055;11912987.013
2.000;6871.994;6877796.655;6883999.754;-3003.243;-103.245;2996.754;6411185.756;0.462;1.165;0.477;-2.478;3562.501;0.680;-3.158;8149933.822;7322.185;0.001;-3.055;11912927.333
3.000;6868.990;6877692.601;6886995.697;-3004.863;-104.866;2995.130;6411185.760;0.462;1.165;0.477;-2.478;3564.345;0.680;-3.159;8149933.824;7322.185;0.001;-3.056;11912866.355
4.000;6865.984;6877586.924;6889990.016;-3006.482;-106.488;2993.506;6411185.763;0.462;1.165;0.477;-2.478;3566.189;0.681;-3.159;8149933.826;7322.185;0.001;-3.057;11912804.080
5.000;6862.977;6877479.626;6892982.711;-3008.101;-108.109;2991.881;6411185.766;0.462;1.165;0.477;-2.478;3568.033;0.681;-3.159;8149933.828;7322.185;0.001;-3.057;11912740.508
6.000;6859.968;6877370.707;6895973.781;-3009.719;-109.731;2990.256;6411185.769;0.462;1.165;0.477;-2.478;3569.878;0.682;-3.160;8149933.830;7322.185;0.001;-3.058;11912675.639
7.000;6856.957;6877260.166;6898963.224;-3011.336;-111.353;2988.630;6411185.772;0.462;1.165;0.477;-2.478;3571.722;0.682;-3.160;8149933.832;7322.185;0.001;-3.059;11912609.472
8.000;6853.945;6877148.003;6901951.041;-3012.952;-112.974;2987.002;6411185.775;0.462;1.165;0.477;-2.478;3573.566;0.682;-3.160;8149933.834;7322.185;0.001;-3.060;11912542.009
9.000;6850.931;6877034.219;6904937.230;-3014.568;-114.596;2985.375;6411185.778;0.462;1.165;0.477;-2.478;3575.410;0.683;-3.161;8149933.836;7322.185;0.001;-3.060;11912473.248
10.000;6847.916;6876918.814;6907921.792;-3016.183;-116.217;2983.746;6411185.781;0.462;1.165;0.477;-2.478;3577.254;0.683;-3.161;8149933.838;7322.185;0.001;-3.061;11912403.190
11.000;6844.899;6876801.786;6910904.724;-3017.797;-117.839;2982.117;6411185.784;0.462;1.165;0.477;-2.478;3579.098;0.683;-3.161;8149933.840;7322.185;0.001;-3.062;11912331.835
12.000;6841.880;6876683.137;6913886.027;-3019.411;-119.460;2980.487;6411185.787;0.462;1.165;0.477;-2.478;3580.942;0.684;-3.162;8149933.842;7322.185;0.001;-3.063;11912259.183
13.000;6838.860;6876562.867;6916865.699;-3021.024;-121.082;2978.856;6411185.790;0.462;1.165;0.477;-2.478;3582.787;0.684;-3.162;8149933.844;7322.185;0.001;-3.063;11912185.234
14.000;6835.838;6876440.975;6919843.741;-3022.637;-122.704;2977.225;6411185.793;0.462;1.165;0.477;-2.478;3584.631;0.684;-3.162;8149933.846;7322.185;0.001;-3.064;11912109.987
15.000;6832.815;6876317.461;6922820.150;-3024.248;-124.325;2975.593;6411185.796;0.462;1.165;0.477;-2.478;3586.475;0.685;-3.163;8149933.848;7322.185;0.001;-3.065;11912033.443
16.000;6829.790;6876192.326;6925794.927;-3025.859;-125.947;2973.960;6411185.799;0.462;1.165;0.477;-2.478;3588.319;0.685;-3.163;8149933.850;7322.185;0.001;-3.065;11911955.602
17.000;6826.763;6876065.570;6928768.071;-3027.470;-127.568;2972.326;6411185.802;0.462;1.165;0.477;-2.478;3590.163;0.685;-3.164;8149933.852;7322.185;0.001;-3.066;11911876.464
18.000;6823.735;6875937.191;6931739.581;-3029.079;-129.190;2970.692;6411185.805;0.462;1.165;0.477;-2.478;3592.007;0.686;-3.164;8149933.854;7322.185;0.001;-3.067;11911796.028
19.000;6820.705;6875807.191;6934709.456;-3030.688;-130.812;2969.057;6411185.808;0.462;1.165;0.477;-2.478;3593.852;0.686;-3.164;8149933.856;7322.185;0.001;-3.068;11911714.296
20.000;6817.674;6875675.570;6937677.695;-3032.296;-132.433;2967.421;6411185.811;0.462;1.165;0.477;-2.478;3595.696;0.687;-3.165;8149933.858;7322.185;0.001;-3.068;11911631.266
21.000;6814.640;6875542.327;6940644.298;-3033.904;-134.055;2965.784;6411185.814;0.462;1.165;0.477;-2.478;3597.540;0.687;-3.165;8149933.860;7322.185;0.001;-3.069;11911546.938
22.000;6811.606;6875407.462;6943609.265;-3035.511;-135.676;2964.147;6411185.817;0.462;1.165;0.477;-2.478;3599.384;0.687;-3.165;8149933.862;7322.185;0.001;-3.070;11911461.314
23.000;6808.569;6875270.976;6946572.593;-3037.117;-137.298;2962.509;6411185.820;0.462;1.165;0.477;-2.478;3601.228;0.688;-3.166;8149933.864;7322.185;0.001;-3.070;11911374.392
24.000;6805.532;6875132.868;6949534.284;-3038.723;-138.920;2960.870;6411185.823;0.462;1.165;0.477;-2.478;3603.073;0.688;-3.166;8149933.866;7322.185;0.001;-3.071;11911286.173
