время;координата x;координата y;координата z;скорость x;скорость y;скорость z;фокальный параметр;эксцентриситет;наклонение;долгота восходящего узла; аргумент широты перигея;время прохождения перигея;аргумент широты;истинная аномалия;большая полуось;период обращения;среднее движение; средняя аномалия; радиус-вектор точки
0.000;6877.997;6877999.900;6878003.000;-3000.002;-100.002;2999.998;6411185.750;0.462;1.165;0.477;-2.478;3558.813;0.679;-3.157;8149933.818;7322.185;0.001;-3.054;11913045.397
1.000;6874.996;6877899.088;6881002.187;-3001.623;-101.623;2998.376;6411185.750;0.462;1.165;0.477;-2.478;3560.657;0.680;-3.158;8149933.818;7322.185;0.001;-3.055;11912987.012
2.000;6871.994;6877796.654;6883999.753;-3003.243;-103.245;2996.754;6411185.750;0.462;1.165;0.477;-2.478;3562.501;0.680;-3.158;8149933.818;7322.185;0.001;-3.055;11912927.330
3.000;6868.990;6877692.598;6886995.695;-3004.863;-104.866;2995.130;6411185.750;0.462;1.165;0.477;-2.478;3564.345;0.680;-3.159;8149933.818;7322.185;0.001;-3.056;11912866.351
4.000;6865.984;6877586.921;6889990.013;-3006.482;-106.488;2993.506;6411185.750;0.462;1.165;0.477;-2.478;3566.189;0.681;-3.159;8149933.818;7322.185;0.001;-3.057;11912804.074
5.000;6862.977;6877479.622;6892982.707;-3008.101;-108.109;2991.881;6411185.750;0.462;1.165;0.477;-2.478;3568.033;0.681;-3.159;8149933.818;7322.185;0.001;-3.057;11912740.501
6.000;6859.968;6877370.702;6895973.776;-3009.719;-109.731;2990.256;6411185.750;0.462;1.165;0.477;-2.478;3569.878;0.682;-3.160;8149933.818;7322.185;0.001;-3.058;11912675.630
7.000;6856.957;6877260.160;6898963.218;-3011.336;-111.353;2988.630;6411185.750;0.462;1.165;0.477;-2.478;3571.722;0.682;-3.160;8149933.818;7322.185;0.001;-3.059;11912609.463
8.000;6853.945;6877147.997;6901951.035;-3012.952;-112.974;2987.002;6411185.750;0.462;1.165;0.477;-2.478;3573.566;0.682;-3.160;8149933.818;7322.185;0.001;-3.060;11912541.998
9.000;6850.931;6877034.212;6904937.223;-3014.568;-114.596;2985.375;6411185.750;0.462;1.165;0.477;-2.478;3575.410;0.683;-3.161;8149933.818;7322.185;0.001;-3.060;11912473.236
10.000;6847.916;6876918.805;6907921.784;-3016.183;-116.217;2983.746;6411185.750;0.462;1.165;0.477;-2.478;3577.254;0.683;-3.161;8149933.818;7322.185;0.001;-3.061;11912403.176
11.000;6844.899;6876801.777;6910904.715;-3017.797;-117.839;2982.117;6411185.750;0.462;1.165;0.477;-2.478;3579.098;0.683;-3.161;8149933.818;7322.185;0.001;-3.062;11912331.820
12.000;6841.880;6876683.128;6913886.017;-3019.411;-119.460;2980.487;6411185.750;0.462;1.165;0.477;-2.478;3580.942;0.684;-3.162;8149933.818;7322.185;0.001;-3.063;11912259.166
13.000;6838.860;6876562.857;6916865.689;-3021.024;-121.082;2978.856;6411185.750;0.462;1.165;0.477;-2.478;3582.787;0.684;-3.162;8149933.818;7322.185;0.001;-3.063;11912185.215
14.000;6835.838;6876440.964;6919843.729;-3022.637;-122.704;2977.225;6411185.750;0.462;1.165;0.477;-2.478;3584.631;0.684;-3.162;8149933.818;7322.185;0.001;-3.064;11912109.967
15.000;6832.815;6876317.449;6922820.138;-3024.248;-124.325;2975.593;6411185.750;0.462;1.165;0.477;-2.478;3586.475;0.685;-3.163;8149933.818;7322.185;0.001;-3.065;11912033.422
16.000;6829.790;6876192.313;6925794.914;-3025.859;-125.947;2973.960;6411185.750;0.462;1.165;0.477;-2.478;3588.319;0.685;-3.163;8149933.818;7322.185;0.001;-3.065;11911955.580
17.000;6826.763;6876065.556;6928768.057;-3027.470;-127.568;2972.326;6411185.750;0.462;1.165;0.477;-2.478;3590.163;0.685;-3.164;8149933.818;7322.185;0.001;-3.066;11911876.440
18.000;6823.735;6875937.177;6931739.566;-3029.079;-129.190;2970.692;6411185.750;0.462;1.165;0.477;-2.478;3592.007;0.686;-3.164;8149933.818;7322.185;0.001;-3.067;11911796.003
